Date, Company, Abstract, Score
12/27/22,Delta Airlines,Flight delays and cancellations over the holiday weekend have left thousands of passengers stranded. Here’s a look at a few other notable episodes like it in recent memory.,0.035
11/11/22,Delta Airlines,There was a moment at the height of the pandemic when rewards programs were lowering the velvet rope for more than the privileged few. But it’s time to prepare for the “great reset” in elite status.,0.366666667
10/26/22,Delta Airlines,Supply chain problems hamper Boeing and Airbus as they try to fulfill a spate of orders from carriers seeking to expand and rejuvenate their fleets.,0
10/21/22,Delta Airlines,"Untethered from desks, passengers are flying more often and in different ways. Carriers expect the new habits to endure, despite economic uncertainty.",0.209090909
10/13/22,Delta Airlines,The carrier reported a healthy profit for the third quarter after a busy summer. Competitors also seem confident despite economic turbulence.,0.26
7/18/22,Delta Airlines,"The purchase reflects confidence that the large version of the aircraft, the Max 10, will win regulatory approval.",0.507142857
7/13/22,Delta Airlines,"U.S. carriers see no slowdown in demand, despite unease about the economy. But problems with staffing and operations are eating into profits.",0
7/13/22,Delta Airlines,"The London airport’s capacity troubles because of staff shortages and soaring demand have contributed to delays, cancellations and lost bags.",0
7/10/22,Delta Airlines,"Pilots feel frustrated and overworked, issues that they say the air travel rebound has magnified by disrupting operations.",-0.7
7/3/22,Delta Airlines,Carriers were dealing with a combination of staff shortages and passenger volume that approached or in some cases exceeded prepandemic levels.,0
7/1/22,Delta Airlines,"After shedding staff in the pandemic, airlines are scrambling to respond to increased demand.",0
7/2/22,Delta Airlines,"Airlines, dealing with bad weather and staffing shortages, struggle to keep up with high demand over the July 4 weekend.",-0.27
6/1/22,Delta Airlines,The company is the latest of several airlines to say their business is stronger than expected as travel demand increases.,0.133333333
9/23/21,Delta Airlines,The carrier informed flight attendants about its request ahead of a House hearing on increased unruliness on flights.,0
1/28/20,Delta Airlines,The Transportation Department also ordered the airline to make flight crews and customer service representatives attend civil rights training.,0
9/9/21,Delta Airlines,United Airlines and Delta Air Lines said they expected the recovery to resume once coronavirus cases peaked.,-0.1
8/11/21,Delta Airlines,"The company revised its forecast for the quarter, saying it expects revenue to fall as much as 20 percent, as ticket sales slow and cancellations rise.",-0.05
5/24/22,Delta Airlines,Airlines are within their contractual rights to cancel booked flights and place passengers on less-convenient routes with hours-long layovers. Our columnist investigates whether travelers have any recourse.,0
5/27/22,Delta Airlines,Ryan Marzullo is overseeing the design and construction of a new multibillion-dollar terminal at La Guardia Airport.,0.136363636
7/27/20,Delta Airlines,An executive for the airline explains its distancing practices and approach to cleaning at a time when its biggest rivals are selling all the seats they can.,0
4/13/22,Delta Airlines,"Delta said its March operations were profitable, despite rising fuel costs. It reported a first-quarter loss, but revenue exceeded its forecast.",0
1/13/22,Delta Airlines,"The airline said it lost $408 million in the final three months of 2021, but added that performance was expected to recover with a strong spring and summer travel season.",0.111111111
5/14/21,Delta Airlines,"Unvaccinated employees could face restrictions, like not being allowed to work on international flights.",0
12/3/20,Delta Airlines,"Delta Air Lines said Thursday that it would assist federal coronavirus contact tracing efforts, becoming the first airline to do so after the industry spent years resisting government requests for help.",0.2
7/23/20,Delta Airlines,"Southwest Airlines and American Airlines on Thursday reported deep losses in the second quarter of the year, as a meek rebound in travel slowed in recent weeks with the spread of coronavirus infections and travel restrictions nationwide.",0
8/10/20,Delta Airlines,Delta’s foray into oil refining illustrates some of the reasons the business was in trouble even before the pandemic.,-0.2
1/11/22,Delta Airlines,The airline’s top lawyer sent a letter telling the union to stop criticizing policies on how many days workers should isolate themselves if they test positive for the coronavirus.,0.409090909
4/21/22,Delta Airlines,"American, United and Delta are gearing up for a flood of bookings. But the industry faces constraints in taking full advantage of the demand.",0.175
4/19/22,Delta Airlines,"After a federal mandate was struck down, major carriers said masks would be optional on domestic flights.",-0.031018519
8/26/21,Delta Airlines,Charging unvaccinated workers more for health coverage may seem more appealing than a mandate but could be harder to carry out.,0.35
